name,amount
MATUSZEWSKI,8708
MICHALIK,8707
RATAJCZAK,8636
OLEJNICZAK,8579
ORZECHOWSKI,8535
WILCZYŃSKI,8509
ROMANOWSKI,8493
ŚWIĄTEK,8483
KUROWSKI,8457
OLEJNIK,8295
GRZELAK,8279
ŁUKASIK,8262
ROGOWSKI,8259
OWCZAREK,8229
MAZURKIEWICZ,8221
BUKOWSKI,8201
SROKA,8157
SOBOLEWSKI,8111
BARAŃSKI,8064
KOSIŃSKI,8055
KĘDZIERSKI,8009
RYBAK,7935
MARSZAŁEK,7934
ZYCH,7923
BEDNARZ,7915
SOBCZYK,7832
SKOWROŃSKI,7815
MATUSIAK,7805
MARCINKOWSKI,7801
LISOWSKI,7757
CHRZANOWSKI,7756
KOZIEŁ,7746
ŚWIDERSKI,7722
KASPRZYK,7668
BEDNARSKI,7654
BIAŁEK,7630
PLUTA,7582
WITEK,7573
KWIECIEŃ,7556
KUCZYŃSKI,7549
GRZYBOWSKI,7501
PALUCH,7498
JANISZEWSKI,7482
TUREK,7475
CHMIEL,7472
MUSZYŃSKI,7469
CZAJKA,7456
JĘDRZEJEWSKI,7455
MORAWSKI,7431
MARCZAK,7426
MAŁEK,7330
MARZEC,7307
KACZOR,7301
ŚLIWA,7265
ŻUKOWSKI,7260
KUBICKI,7253
CZAJA,7241
PIEKARSKI,7234
CZECH,7174
SZCZĘSNY,7162
OSIŃSKI,7108
PRZYBYSZ,7079
KRZEMIŃSKI,7068
KULESZA,7058
JANOWSKI,7052
STEFANIAK,7042
GOŁĘBIEWSKI,7037
BIERNACKI,7012
LECH,6968
RAK,6952
SMOLIŃSKI,6950
SZYDŁOWSKI,6940
STANISZEWSKI,6917
LEWICKI,6914
SERAFIN,6909
BANACH,6908
KUJAWA,6898
MICHAŁOWSKI,6895
CIEŚLIK,6888
GÓRA,6887
KACPRZAK,6863
MURAWSKI,6859
POPŁAWSKI,6842
STACHOWIAK,6808
PIETRZYK,6786
DĘBSKI,6782
RUDNICKI,6767
PIĄTKOWSKI,6736
ŻUREK,6733
GÓRNY,6675
GÓRKA,6672
BANAŚ,6661
ZAWADA,6660
NIEMIEC,6658
KARCZEWSKI,6643
PODGÓRSKI,6634
MATYSIAK,6617
ŻURAWSKI,6603
SOWIŃSKI,6581
KLIMCZAK,6578
CZYŻ,6571
GOŁĘBIOWSKI,6548
ROSIŃSKI,6531
BIENIEK,6502
KUŚ,6488
DROZD,6435
GRUSZKA,6434
GODLEWSKI,6432
SKRZYPCZAK,6409
AUGUSTYNIAK,6406
KRAWIEC,6393
GROCHOWSKI,6371
PANEK,6357
PTAK,6353
PRZYBYŁA,6322
GIL,6257
KOMOROWSKI,6241
WINIARSKI,6215
RÓŻAŃSKI,6206
KONOPKA,6199
SIWEK,6145
SŁOWIK,6142
CYBULSKI,6141
KULIK,6106
LEŚNIEWSKI,6098
GRZYB,6075
SZCZEPANIK,6074
KŁOS,6061
KRZYŻANOWSKI,6061
CICHOŃ,6032
ZARZYCKI,6018
ZAREMBA,6008
GRACZYK,5995
TOKARSKI,5988
MIELCZAREK,5973
KACZYŃSKI,5959
MŁYNARCZYK,5945
MIKOŁAJCZAK,5919
STAŃCZYK,5882
STRZELECKI,5878
CICHOCKI,5876
SZOSTAK,5876
SZYMCZYK,5876
BUCZEK,5874
BIERNAT,5853
WĘGRZYN,5852
JUREK,5837
MAĆKOWIAK,5795
SZCZYGIEŁ,5788
SKOWRON,5786
GĄSIOR,5783
BARTKOWIAK,5781
JANUS,5779
BOGUSZ,5750
CIEŚLA,5725
FILIPIAK,5722
GAWRON,5718
KALETA,5685
JANIAK,5672
NIEWIADOMSKI,5657
KUCHARCZYK,5638
RZEPKA,5635
KULA,5630
KOSTRZEWA,5628
KUBIK,5624
PAŁKA,5618
KSIĄŻEK,5603
RAKOWSKI,5600
BAGIŃSKI,5587
SIENKIEWICZ,5578
GAWLIK,5563
RÓŻYCKI,5532
ANTCZAK,5486
FRĄCZEK,5478
BARTCZAK,5477
MALEC,5470
ZARĘBA,5469
BANASIAK,5422
TRZCIŃSKI,5411
ŻEBROWSKI,5391
KRÓLIKOWSKI,5388
ROGALSKI,5370
DŁUGOSZ,5356
HAJDUK,5354
MIKULSKI,5335
ROGALA,5314
ROJEK,5269
LACH,5264
BOREK,5259
TKACZYK,5251
KISIEL,5248
GRZEGORCZYK,5238
TROJANOWSKI,5224
GAWROŃSKI,5208
STEC,5205
WITCZAK,5190
DOBOSZ,5184
MALISZEWSKI,5179
WĄSIK,5167
WOLNY,5165
RYBICKI,5162
RADOMSKI,5142
ŚLUSARCZYK,5137
MIKA,5101
KMIECIK,5045
BIAŁAS,5042
ZABOROWSKI,5037
PAWELEC,5020
GAŁĄZKA,5017
WALKOWIAK,5011
GRZESIAK,5010
KACZOROWSKI,5007
BOGUCKI,4990
LIPSKI,4987
SOKÓŁ,4982
FRANKOWSKI,4959
WNUK,4959
FRĄCKOWIAK,4958
BOCHENEK,4933
CICHY,4932
KARWOWSKI,4925
ZYGMUNT,4913
KWAŚNIEWSKI,4884
NAWROT,4869
WÓJCICKI,4868
ŻMUDA,4866
WIĘCKOWSKI,4865
JUSZCZAK,4844
DUDZIŃSKI,4833
JANAS,4812
PIETRAS,4805
GAWEŁ,4796
MROCZEK,4776
PASTERNAK,4759
SKRZYPEK,4747
LASOTA,4739
ROSIAK,4739
WOJTCZAK,4733
ŁAPIŃSKI,4729
KOŁODZIEJSKI,4728
JĘDRZEJCZYK,4725
MISIAK,4722
WROŃSKI,4713
KARAŚ,4709
PIÓRKOWSKI,4709
KRYSIAK,4705
BURZYŃSKI,4704
BUJAK,4702
FIJAŁKOWSKI,4702
DĄBEK,4685
CZYŻEWSKI,4679
GRUSZCZYŃSKI,4669
KUBACKI,4669
PIWOWARCZYK,4645
GUTOWSKI,4638
MASŁOWSKI,4612
SOŁTYS,4606
BOROWIEC,4605
SZAFRAŃSKI,4605
JAGODZIŃSKI,4590
ŁUKASZEWSKI,4586
STELMACH,4583
KAŁUŻNY,4580
ZAJĄCZKOWSKI,4574
TARNOWSKI,4573
JAGIEŁŁO,4565
ZIELONKA,4563
CEBULA,4547
ŁUKASIEWICZ,4543
LISIECKI,4542
BIELAWSKI,4540
KAŁUŻA,4539
WOŹNY,4533
CYGAN,4532
PILARSKI,4518
KRAKOWIAK,4514
JURKIEWICZ,4512
SKIBIŃSKI,4503
SKOCZYLAS,4491
DRZEWIECKI,4487
SZCZEŚNIAK,4486
WILCZEK,4485
FALKOWSKI,4481
PAKUŁA,4480
BOBER,4467
FILIPEK,4466
JĘDRZEJCZAK,4463
KĘDZIORA,4440
SOBIERAJ,4436
JAKUBIAK,4424
GĄSIOROWSKI,4419
STRZELCZYK,4415
DĘBOWSKI,4413
TWARDOWSKI,4401
FLIS,4396
RACZYŃSKI,4371
KUBICA,4356
GOŁĄB,4348
WASIAK,4348
MIERZEJEWSKI,4346
STANEK,4332
GUZIK,4322
GÓRNIAK,4317
GÓRAL,4313
WIĘCEK,4312
BARTOSIK,4297
KULIG,4297
MAJCHER,4293
WOLAK,4291
MATUSZAK,4254
MOTYKA,4246
DROZDOWSKI,4240
GRZYWACZ,4236
SZWED,4235
BILSKI,4230
RUSIN,4230
NOWACZYK,4222
CHOLEWA,4216
CZAPLA,4206
BURY,4204
DZIUBA,4202
WOJTAS,4190
STOLARCZYK,4189
FLOREK,4184
KOPCZYŃSKI,4180
KRUPIŃSKI,4175
PACZKOWSKI,4175
URBAŃCZYK,4175
PYTEL,4164
KASZUBA,4159
JAŚKIEWICZ,4148
MICHAŁEK,4148
PROKOP,4131
KUC,4128
GWÓŹDŹ,4127
MISZTAL,4124
RUCIŃSKI,4120
MALICKI,4114
DUBIEL,4106
BIELAK,4105
ZAGÓRSKI,4100
ANDRZEJCZAK,4099
JANKOWIAK,4093
BIAŁY,4087
STASZEWSKI,4075
BOŻEK,4074
CISZEWSKI,4069
SIEDLECKI,4062
KUCHTA,4061
SŁOWIŃSKI,4061
KĘPA,4049
MODZELEWSKI,4048
ŚWIERCZYŃSKI,4046
PARTYKA,4045
KACZMARSKI,4043
PŁONKA,4043
SKÓRA,4040
ZWOLIŃSKI,4032
JANUSZ,4031
BIEŃKOWSKI,4025
GAŁKA,4021
SIERADZKI,4017
KAPUSTA,4006
MILCZAREK,4003
STACHURA,3984
JURKOWSKI,3983
SOCHACKI,3979
SZYSZKA,3966
SŁAWIŃSKI,3965
SZCZERBA,3965
JEZIERSKI,3963
STĘPNIAK,3961
PAWLIKOWSKI,3958
SITEK,3946
JACKOWSKI,3928
WOŚ,3923
KOLASA,3918
IWAŃSKI,3910
ROSA,3908
OLCZAK,3906
CHMURA,3905
LIPKA,3902
DUDZIK,3894
MROCZKOWSKI,3891
MAŃKOWSKI,3880
MAJKA,3879
MAŚLANKA,3877
KNAPIK,3874
BRODA,3872
DEC,3870
KWIECIŃSKI,3868
SKALSKI,3859
NOGA,3852
SZATKOWSKI,3829
TRZECIAK,3819
KOZA,3811
KITA,3809
KOGUT,3803
TOKARZ,3801
SALAMON,3796
FLORCZAK,3788
CHOJNOWSKI,3784
KOWALCZUK,3783
DUDZIAK,3780
MOLENDA,3773
WYSZYŃSKI,3773
MROZEK,3770
DOBRZYŃSKI,3768
STANISŁAWSKI,3768
LENART,3764
WŁODARSKI,3761
PASZKOWSKI,3760
KIEŁBASA,3758
MICHALCZYK,3757
PUCHALSKI,3757
KOTOWSKI,3754
SKOWRONEK,3753
KOBUS,3751
KOŁAKOWSKI,3750
KRUSZEWSKI,3744
BUCZYŃSKI,3743
ZDUNEK,3741
JANUSZEWSKI,3722
KAWA,3704
CHUDY,3701
DOMINIAK,3701
ŻUK,3697
CZECHOWSKI,3684
WARCHOŁ,3670
GRZESIK,3666
ADAMUS,3660
ADAMCZAK,3658
PILCH,3655
PIECHOTA,3654
ROBAK,3652
AUGUSTYN,3640
KOS,3638
KŁOSOWSKI,3629
MACIĄG,3629
ADAMEK,3625
WIĄCEK,3621
STOLARSKI,3614
GŁOGOWSKI,3611
CHUDZIK,3609
JAGIELSKI,3607
RYŚ,3603
JURCZAK,3602
BĄKOWSKI,3599
KOPER,3590
PRZYBYŁ,3587
KALISZ,3585
FILIPOWICZ,3582
ŻYŁA,3582
BANASIK,3581
TOMALA,3574
SURMA,3572
KUŹMA,3565
JARZĄBEK,3564
MARCHEWKA,3564
NIEDŹWIECKI,3562
RUDZIŃSKI,3562
PORĘBSKI,3558
KASPEREK,3556
BUDZYŃSKI,3545
DĄBKOWSKI,3545
STAŃCZAK,3540
OLEKSY,3531
SOŁTYSIAK,3522
RUDNIK,3521
PIŁAT,3516
KANIEWSKI,3513
NIEMCZYK,3507
KOPACZ,3506
WYPYCH,3505
JAROS,3502
BUCZKOWSKI,3500
PRUS,3497
ZIĘTEK,3497
MALIK,3493
GADOMSKI,3492
GORCZYCA,3490
MIŚKIEWICZ,3486
MOSKAL,3486
TRACZ,3466
SZELĄG,3463
GOLEC,3454
KUCIŃSKI,3449
BARTNIK,3448
TRELA,3432
DRABIK,3431
WOLIŃSKI,3422
BALCERZAK,3421
KORZENIOWSKI,3420
SOJKA,3417
KRUCZEK,3403
BŁASZCZAK,3393
GŁĄB,3389
WARZECHA,3389
RYBARCZYK,3386
SZYMKOWIAK,3383
STACHOWICZ,3381
PIOTROWICZ,3379
DRÓŻDŻ,3378
MAGIERA,3378
ZABŁOCKI,3376
SĘK,3374
STACHURSKI,3372
OSSOWSKI,3369
ŚLĘZAK,3368
KUJAWSKI,3366
RADECKI,3366
FRĄTCZAK,3361
PIETRUSZKA,3360
PELC,3357
BUDZIŃSKI,3356
JURCZYK,3356
ADAMIAK,3353
RUDZKI,3353
BIAŁKOWSKI,3342
LESIAK,3330
SZUBA,3329
ZIMNY,3321
KMIEĆ,3315
NIEDZIELSKI,3310
KULIŃSKI,3309
WOŹNICA,3307
KOZIK,3306
KRAKOWSKI,3303
KOSTECKI,3302
BIELSKI,3300
PEŁKA,3296
KOSOWSKI,3294
MIERZWA,3291
ŚWIDER,3291
ROMAN,3286
GRUDZIEŃ,3282
BIELIŃSKI,3281
OLCZYK,3280
TOMASIK,3274
BANASZEK,3272
SKORUPA,3270
SOBOTA,3270
ADAMOWICZ,3268
POLAŃSKI,3265
WOJTASIK,3263
STAWICKI,3254
GUT,3253
PAWLICKI,3249
WOŁOSZYN,3249
FURMAN,3247
GRZEŚKOWIAK,3246
SOBAŃSKI,3240
SEKUŁA,3239
URBANEK,3234
CZEKAJ,3228
ŚMIGIELSKI,3221
KAWECKI,3214
POGORZELSKI,3205
ROMANIUK,3199
PIWOWARSKI,3185
MILLER,3183
URBANOWICZ,3173
CZERNIAK,3169
TOKARCZYK,3165
WOJTKOWIAK,3165
LITWIN,3161
LORENC,3153
PIĘTKA,3151
BOGACZ,3149
KĘDZIOR,3141
LISZKA,3140
SZWARC,3133
ŻUCHOWSKI,3133
BISKUP,3132
KRASOWSKI,3128
JUSZCZYK,3126
KNAP,3125
ŚWIĄTKOWSKI,3123
MAKUCH,3117
SZAREK,3115
SZOT,3111
WIŚNIOWSKI,3111
NAPIERAŁA,3107
RATAJCZYK,3106
GRUDZIŃSKI,3103
GACEK,3102
IZDEBSKI,3101
KRUKOWSKI,3097
ROSZKOWSKI,3096
STUDZIŃSKI,3079
ŚLEDŹ,3077
KAWKA,3070
KWIATEK,3065
MACKIEWICZ,3063
HERMAN,3059
KARCZ,3057
SIWIEC,3047
MAŃKA,3046
JAKUBCZYK,3043
JÓŹWIK,3034
KUKLA,3033
PAPROCKI,3029
ROSZAK,3019
RYBKA,3016
KUSIAK,3009
ROŻEK,3009
WOJDA,3003
ŁUKASZEWICZ,3001
MAZIARZ,2999
DUSZYŃSKI,2997
BOBROWSKI,2992
JEZIORSKI,2992
RESZKA,2991
BORYS,2989
ALEKSANDROWICZ,2985
TKACZ,2982
GRZYBEK,2971
RUSEK,2970
TUROWSKI,2966
SMOLEŃ,2955
KRASZEWSKI,2954
ŚPIEWAK,2952
FILIP,2950
WACH,2949
MAŁKOWSKI,2943
SIDOR,2942
SZKUDLAREK,2941
WRZESIŃSKI,2937
KORCZAK,2936
MIELCAREK,2932
SZELIGA,2931
NIEDZIELA,2928
SZOPA,2922
KRUSZYŃSKI,2918
KORZENIEWSKI,2915
GRODZKI,2914
HOFFMANN,2914
KRÓLAK,2910
SZCZUREK,2910
WERNER,2910
KĘPKA,2906
WAJDA,2905
PĘKALA,2898
STASZAK,2898
DROŻDŻ,2894
KOSMALA,2892
GRABARCZYK,2891
BUGAJSKI,2885
OLECH,2882
PIECH,2881
SZYMANEK,2876
GĄSIOREK,2872
MAJKOWSKI,2872
KULPA,2869
RZEPECKI,2865
PLICHTA,2863
LEWIŃSKI,2862
SUSKI,2861
GOLA,2859
LIPIEC,2857
PERKOWSKI,2857
BARTOSZEK,2843
KAPUŚCIŃSKI,2843
BOGDAŃSKI,2840
JAKUBIEC,2838
KURZAWA,2837
SKONIECZNY,2832
RADZISZEWSKI,2828
ROGOZIŃSKI,2821
KOKOSZKA,2814
RODAK,2803
SUCHECKI,2797
WASIELEWSKI,2796
ORZEŁ,2795
SUŁKOWSKI,2794
WOJTOWICZ,2789
WRZOSEK,2788
OLSZAK,2786
RACZKOWSKI,2786
PISZCZEK,2783
DYMEK,2782
OŻÓG,2781
ROKICKI,2781
SZPAK,2780
PASZKIEWICZ,2779
PISAREK,2779
LANGE,2778
KUPIEC,2776
KAŹMIERSKI,2774
SCHMIDT,2774
WIELGUS,2768
ADAMIEC,2763
KOZAKIEWICZ,2759
KOKOT,2754
JANCZAK,2753
KAWALEC,2750
GOLIŃSKI,2749
GOŁĄBEK,2748
ZAPAŁA,2746
WYRZYKOWSKI,2744
GŁADYSZ,2742
RÓG,2742
OSOWSKI,2740
STOKŁOSA,2734
JASKULSKI,2732
BUGAJ,2729
BRODOWSKI,2727
BARSZCZ,2725
BANASZAK,2722
BIAŁECKI,2719
WOJTASZEK,2719
BIELA,2718
CHROBAK,2717
ŚWIERCZEK,2711
ROMAŃSKI,2710
BRZESKI,2707
MATUSIK,2707
SZYMANOWSKI,2707
BOJARSKI,2706
KOPROWSKI,2705
GARBACZ,2703
MACH,2701
LASEK,2695
KONARSKI,2693
MĄCZKA,2693
PLEWA,2692
POTOCKI,2692
GRUCA,2691
PIERZCHAŁA,2687
SUDOŁ,2685
NOWIŃSKI,2683
SOLECKI,2683
SMOLAREK,2682
KAROLAK,2679
LOREK,2678
KOCHAŃSKI,2677
GABRYŚ,2676
KOSTKA,2668
PŁATEK,2663
BALICKI,2662
SZCZYGIELSKI,2660
PISKORZ,2658
KALIŃSKI,2657
AMBROZIAK,2655
JAMRÓZ,2654
SUROWIEC,2651
WASZKIEWICZ,2651
PUCHAŁA,2645
CZARNOTA,2644
ŁACH,2644
TRACZYK,2643
BILIŃSKI,2641
PIECHOCKI,2640
PANASIUK,2633
PASZEK,2627
SALA,2627
DZIKOWSKI,2621
KOLASIŃSKI,2615
WÓJCIAK,2615
BURDA,2614
WŁOCH,2612
ŚWITAŁA,2610
ZBOROWSKI,2610
BUREK,2609
PASEK,2606
WDOWIAK,2604
NGUYEN,2603
PIĘTA,2603
WAGNER,2602
KEMPA,2598
OKOŃ,2598
BIEL,2597
BARON,2596
BERNAT,2591
WALCZYK,2591
DOLATA,2588
SZYMANIAK,2587
MĄDRY,2585
GRELA,2584
KRAUZE,2583
BŁOŃSKI,2575
BATOR,2573
OLEŚ,2572
SKWAREK,2572
ZAWISTOWSKI,2572
WACHOWIAK,2569
STACHOWSKI,2568
FIGURA,2567
JAROSZEWSKI,2565
MODRZEJEWSKI,2564
STENCEL,2563
OSUCH,2561
ADAMCZEWSKI,2558
OGÓREK,2557
CIOŁEK,2552
DZIURA,2552
KAPICA,2550
FERENC,2549
ZARĘBSKI,2546
GAZDA,2541
GÓRALCZYK,2541
FRANCZAK,2540
CICHOSZ,2538
JEDYNAK,2538
ŁOŚ,2538
MULARCZYK,2538
STĘPNIEWSKI,2537
MIŚ,2535
MROWIEC,2535
WĄSOWSKI,2535
WEBER,2535
WALIGÓRA,2534
PARADOWSKI,2529
GROBELNY,2527
PÓŁTORAK,2527
LACHOWICZ,2523
KOŚCIELNIAK,2522
MIECZKOWSKI,2522
DUTKIEWICZ,2521
ĆWIK,2518
DOLIŃSKI,2516
KOŁODZIEJCZAK,2514
BOGDAN,2513
BROŻEK,2513
KWAŚNY,2510
MYŚLIWIEC,2508
MAJDA,2506
OZGA,2506
GRABSKI,2505
JASKÓLSKI,2505
KOZYRA,2505
GRYGIEL,2502
NADOLNY,2502
ŁAWNICZAK,2501
ZAWISZA,2501
KOZERA,2500
BARTNICKI,2498
DRĄG,2498
GAŁECKI,2497
WIELGOSZ,2491
BOROŃ,2488
MELNYK,2485
MŁYNARSKI,2484
BERNACKI,2479
KLIMAS,2479
KRASKA,2479
LEMAŃSKI,2479
KOCHANOWSKI,2478
KOZICKI,2478
KULAS,2475
WNĘK,2474
GAJ,2473
NALEPA,2469
SZWEDA,2468
KULIKOWSKI,2466
MIREK,2464
SITKO,2460
CZUBA,2458
BIEŃ,2456
STOPA,2456
KOSTRZEWSKI,2455
SZADKOWSKI,2455
SZCZEPANEK,2453
NADOLSKI,2452
SOBOŃ,2448
TABOR,2447
WINNICKI,2447
ĆWIKLIŃSKI,2444
KĄKOL,2443
FLAK,2441
PRZYBYSZEWSKI,2439
CZAPLIŃSKI,2437
SKORUPSKI,2434
WYDRA,2432
SPYCHAŁA,2431
RYBA,2429
SZAFRAN,2429
GLIŃSKI,2427
GALIŃSKI,2419
BARTOSIEWICZ,2417
TYMIŃSKI,2414
FILIPCZAK,2411
FIGIEL,2410
BŁAŻEJEWSKI,2408
KREFT,2408
PORĘBA,2407
NIEZGODA,2404
KLUSKA,2403
PASTUSZKA,2403
SARNOWSKI,2401
BŁASZKIEWICZ,2396
MORAWIEC,2393
JANECZEK,2392
BARTKOWSKI,2387
ANTONIAK,2385
MACHNIK,2385
WĘGLARZ,2385
WALAS,2383
TURSKI,2382
PAJOR,2381
KLIMASZEWSKI,2380
SOBOCIŃSKI,2375
BUDNY,2374
PIETRZYKOWSKI,2374
GAJEK,2372
WCISŁO,2371
BUDA,2370
ŚWIERCZ,2367
DOBRZAŃSKI,2365
ŁAKOMY,2364
KRÓLIK,2363
ZASADA,2362
ŁUGOWSKI,2357
WISZNIEWSKI,2356
NOSAL,2355
ŚLIWKA,2354
RYCHLIK,2350
GALAS,2348
IWANOWSKI,2347
MUSIOŁ,2347
ZAWIŚLAK,2341
GUZ,2337
RUMIŃSKI,2337
GIZA,2335
SŁOMIŃSKI,2334
IWANICKI,2332
KAZIMIERCZAK,2331
GOŁASZEWSKI,2327
MATCZAK,2327
SEWERYN,2327
RYBIŃSKI,2324
KRAUSE,2321
WIERZCHOWSKI,2321
GAŁUSZKA,2314
WILCZEWSKI,2313
MIKUŁA,2312
BRYŁA,2307
FURTAK,2307
MARCZEWSKI,2307
ZIOMEK,2306
KLONOWSKI,2303
GOLONKA,2301
RYBACKI,2300
TUSZYŃSKI,2298
SZCZOTKA,2297
BOJANOWSKI,2296
SŁOMKA,2296
SMYK,2296
CHOJECKI,2295
PIEŃKOWSKI,2293
ROKITA,2293
CZAPIEWSKI,2292
MIZERA,2289
JACKIEWICZ,2288
MARCINKIEWICZ,2287
SZOSTEK,2287
DUSZA,2285
MAKAREWICZ,2285
RADZIKOWSKI,2284
MISZCZAK,2283
JOŃCZYK,2282
KALBARCZYK,2281
KOŁACZ,2281
GÓRALSKI,2280
TRUSZKOWSKI,2278
PILARCZYK,2277
PODSIADŁO,2277
KALITA,2276
SZUBERT,2275
KASPERSKI,2273
KORNACKI,2267
BOROWIAK,2265
OLENDER,2265
WASZAK,2260
KOMAR,2259
GĄSKA,2258
PIEKARZ,2256
CHYLIŃSKI,2253
KŁOSIŃSKI,2253
DOMAGALSKI,2252
LEWCZUK,2252
RĄCZKA,2250
SOBCZYŃSKI,2249
STRZAŁKOWSKI,2249
BABIARZ,2244
NAPIÓRKOWSKI,2239
DANIEL,2237
MOROZ,2235
WACHOWSKI,2235
BĄCZEK,2234
LUDWICZAK,2233
FRANKIEWICZ,2231
RADWAŃSKI,2229
TARKA,2229
WILIŃSKI,2228
MASTALERZ,2227
IWAN,2223
KRZAK,2223
KOBYLIŃSKI,2222
RAKOCZY,2221
TOPOLSKI,2219
MAŁOLEPSZY,2218
KLOC,2217
NYCZ,2217
MACHOWSKI,2214
SUCHOCKI,2211
TROJAN,2210
PIWOWAR,2204
KRASUSKI,2203
GREGORCZYK,2200
KOZIŃSKI,2197
DREWNIAK,2196
MARKOWICZ,2196
SITARZ,2196
ZIEMBA,2196
DUL,2194
PISARSKI,2194
DAWIDOWSKI,2193
DWORAK,2189
MACIASZEK,2187
ANTKOWIAK,2185
KIELAR,2182
RYDZEWSKI,2181
PATER,2180
GWIAZDA,2179
MALCZEWSKI,2175
WOJDYŁA,2173
BACZYŃSKI,2172
JELEŃ,2171
OSIECKI,2168
GĄDEK,2167
NEUMANN,2167
JEŻ,2166
SOSIŃSKI,2166
STAROŃ,2164
TRZASKA,2164
SZEWCZUK,2160
DAWID,2159
KLEIN,2153
WOJTKOWSKI,2153
MOTYL,2151
OSTASZEWSKI,2150
CZUBAK,2147
POPIOŁEK,2147
MILER,2146
DĘBICKI,2142
MATUSZCZAK,2136
CHOWANIEC,2135
IWANIUK,2133
KUSZ,2133
OGRODNIK,2133
SAKOWSKI,2133
CZERWONKA,2132
SZAFRANIEC,2132
CIEŚLIŃSKI,2127
MATYJA,2124
SZLACHTA,2124
PLUCIŃSKI,2122
JARECKI,2119
SYNOWIEC,2119
